date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:53:30	98404/98404	---M--	200	added ('OK')	application/x-font-ttf	etag:%223e02e3-18064-56a4a050b6b21%22	http://templates.aucreative.co/arges/fonts/fontawesome-5.0.8/webfonts/fa-brands-400.ttf	C:/My%20Web%20Sites/Tez%20Gaming/templates.aucreative.co/arges/fonts/fontawesome-5.0.8/webfonts/fa-brands-400.ttf	(from http://templates.aucreative.co/arges/fonts/fontawesome-5.0.8/css/fontawesome-all.min.css)
11:53:31	31156/31156	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223e02e6-79b4-56a4a053e239f%22	http://templates.aucreative.co/arges/fonts/fontawesome-5.0.8/webfonts/fa-regular-400.eot	C:/My%20Web%20Sites/Tez%20Gaming/templates.aucreative.co/arges/fonts/fontawesome-5.0.8/webfonts/fa-regular-400.eot	(from http://templates.aucreative.co/arges/fonts/fontawesome-5.0.8/css/fontawesome-all.min.css)
11:53:31	31156/31156	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223e02e6-79b4-56a4a053e239f%22	http://templates.aucreative.co/arges/fonts/fontawesome-5.0.8/webfonts/fa-regular-400.eot?	C:/My%20Web%20Sites/Tez%20Gaming/templates.aucreative.co/arges/fonts/fontawesome-5.0.8/webfonts/fa-regular-400d41d.eot	(from http://templates.aucreative.co/arges/fonts/fontawesome-5.0.8/css/fontawesome-all.min.css)
11:53:31	14712/14712	---M--	200	added ('OK')	application/x-font-woff	etag:%223e02e9-3978-56a4a056b84eb%22	http://templates.aucreative.co/arges/fonts/fontawesome-5.0.8/webfonts/fa-regular-400.woff	C:/My%20Web%20Sites/Tez%20Gaming/templates.aucreative.co/arges/fonts/fontawesome-5.0.8/webfonts/fa-regular-400.woff	(from http://templates.aucreative.co/arges/fonts/fontawesome-5.0.8/css/fontawesome-all.min.css)
11:53:32	107201/107201	---M--	200	added ('OK')	image/svg+xml	etag:%223e02e7-1a2c1-56a4a0550adc3%22	http://templates.aucreative.co/arges/fonts/fontawesome-5.0.8/webfonts/fa-regular-400.svg	C:/My%20Web%20Sites/Tez%20Gaming/templates.aucreative.co/arges/fonts/fontawesome-5.0.8/webfonts/fa-regular-400.svg	(from http://templates.aucreative.co/arges/fonts/fontawesome-5.0.8/css/fontawesome-all.min.css)
11:53:34	40148/40148	---M--	200	added ('OK')	text/html	etag:%223e02ef-9cd4-56a4a05cc98b6%22	http://templates.aucreative.co/arges/fonts/fontawesome-5.0.8/webfonts/fa-solid-900.woff2	C:/My%20Web%20Sites/Tez%20Gaming/templates.aucreative.co/arges/fonts/fontawesome-5.0.8/webfonts/fa-solid-900.html	(from http://templates.aucreative.co/arges/fonts/fontawesome-5.0.8/css/fontawesome-all.min.css)
11:53:38	30928/30928	---M--	200	added ('OK')	application/x-font-ttf	etag:%223e02e8-78d0-56a4a05591238%22	http://templates.aucreative.co/arges/fonts/fontawesome-5.0.8/webfonts/fa-regular-400.ttf	C:/My%20Web%20Sites/Tez%20Gaming/templates.aucreative.co/arges/fonts/fontawesome-5.0.8/webfonts/fa-regular-400.ttf	(from http://templates.aucreative.co/arges/fonts/fontawesome-5.0.8/css/fontawesome-all.min.css)
11:53:42	50524/50524	---M--	200	added ('OK')	application/x-font-woff	etag:%223e02ee-c55c-56a4a05c4c4c9%22	http://templates.aucreative.co/arges/fonts/fontawesome-5.0.8/webfonts/fa-solid-900.woff	C:/My%20Web%20Sites/Tez%20Gaming/templates.aucreative.co/arges/fonts/fontawesome-5.0.8/webfonts/fa-solid-900.woff	(from http://templates.aucreative.co/arges/fonts/fontawesome-5.0.8/css/fontawesome-all.min.css)
11:53:51	390837/390837	---M--	200	added ('OK')	image/svg+xml	etag:%223e02ec-5f6b5-56a4a05a1bfdc%22	http://templates.aucreative.co/arges/fonts/fontawesome-5.0.8/webfonts/fa-solid-900.svg	C:/My%20Web%20Sites/Tez%20Gaming/templates.aucreative.co/arges/fonts/fontawesome-5.0.8/webfonts/fa-solid-900.svg	(from http://templates.aucreative.co/arges/fonts/fontawesome-5.0.8/css/fontawesome-all.min.css)
11:53:58	106004/106004	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223e02eb-19e14-56a4a058e5328%22	http://templates.aucreative.co/arges/fonts/fontawesome-5.0.8/webfonts/fa-solid-900.eot	C:/My%20Web%20Sites/Tez%20Gaming/templates.aucreative.co/arges/fonts/fontawesome-5.0.8/webfonts/fa-solid-900.eot	(from http://templates.aucreative.co/arges/fonts/fontawesome-5.0.8/css/fontawesome-all.min.css)
